CODI Sistema;Nom del sistema/EDAR;Codi_municipi;Municipi EDAR;Comarca;Província;Conca;Administració actuant;Empresa explotadora;Any posada en marxa;Any ampliació;Tipus de tractament;"Cabal de disseny
 (m³/dia)";"Població de disseny 
(h-e)";"F. sèptiques
(Nre.)";"Bombaments
(Nre.)";"Col·lectors
(km)";"Emissaris
(Nre.)";"Emissaris
(km)";Municipis assistits;Fitlre;Punt d'abocament;Homes;Dones;Total
DPRL;PERALADA;171328;Peralada;Alt Empordà;Girona;La Muga;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2006;NA;Biològic amb eliminació de Nitrogen i Fòsfor;696,00;4002;0;1;0,78;0;0,00;PERALADA;1;Riu La Muga;906;944;1850
DPER;PERELLÓ, EL;431042;Perelló, el;Baix Ebre;Tarragona;Rieres de la costa entre l'Ametlla i Alcanar;Consell Comarcal del Baix Ebre;ACCIONA AGUA, S.A.U.;1994;NA;Llacunatge;875,00;5833;0;0;1,40;0;0,00;PERELLÓ, EL (Perelló, El);1;Barranc del Boc;1421;1349;2770
DPIE;PIERA;081614;Piera;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (UTE EDAR VALLBONA);1995;NA;Biològic amb eliminació de Nitrogen i amb tractament Terciari;4000,00;18333;0;2;14,50;0;0,00;PIERA (Piera);1;Riera Ginovarda;7976;7627;15603
DPDB;PINELL DEL BRAI;431068;Pinell de Brai, el;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2006;NA;Biològic amb eliminació de Nitrogen;233,00;2198;0;0;0,19;0;0,00;PINELL DEL BRAI (Pinell del Brai);1;Barranc de la Teuleria;516;501;1017
DPDM;PLA DE SANTA MARIA, EL;431080;Pla de Santa Maria, el;Alt Camp;Tarragona;El Francolí;Agència Catalana de l'Aigua;UTE EDAR TORREDEMBARRA II (ACSA-DAM);1993;2020;Biològic;620,00;5145;0;0;2,84;0;0,00;PLA DE STA. MARIA (El Pla de Sta. Maria);1;Aiguamolls de El Plà de Santa Maria;1215;1112;2327
DPDP;PLA DEL PENEDÈS;081640;Pla del Penedès, el;Alt Penedès;Barcelona;El Llobregat;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2010;NA;Biològic;360,00;1770;0;0;1,00;0;0,00;PLA DEL PENEDÈS;1;Torrent de Mas Rovira;636;620;1256
DPLA;PLANOLES;171349;Planoles;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1994;NA;Tractament extensiu;200,00;833;0;0;2,00;0;0,00;PLANOLES (Planoles);1;Rigat;157;131;288
DPOBL;POBLA DE LILLET;081666;Pobla de Lillet, la;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2011;NA;Biològic amb eliminació de Nitrogen i Fòsfor;600,00;3500;0;0;1,67;0;0,00;POBLA DE LILLET;1;riu Llobregat;528;567;1095
DPBL;POBOLEDA;431129;Poboleda;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2008;NA;Biològic amb eliminació de Nitrogen;75,00;775;0;0;0,06;0;0,00;POBOLEDA (Poboleda);1;Riu Siurana;166;147;313
DPSU;PONT DE SUERT, EL;251734;Pont de Suert, el;Alta Ribagorça;Lleida;La Noguera Ribagorçana;Agència Catalana de l'Aigua;CADAGUA;1995;NA;Biològic amb eliminació de Nitrogen i Fòsfor;1080,00;5400;0;1;1,53;0;0,00;PONT DE SUERT;1;RIU NOGUERA RIBAGORÇANA;1107;1113;2220
DPON;PONTS;251728;Ponts;Noguera;Lleida;El Segre;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1995;NA;Biològic;720,00;3300;0;0;1,13;0;0,00;PONTS;1;SÈQUIA DE PONTS;1305;1296;2601
DPRR;PORRERA;431140;Porrera;Priorat;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2017;NA;Biològic;215,00;716;0;1;0,62;0;0,00;Porrera;1;Riu Siurana;229;210;439
DPOB;PORTBOU;171387;Portbou;Alt Empordà;Girona;Rieres de la costa entre la frontera amb França i Lloret de Mar;Consorci d'Aigües Costa Brava Girona;UTE SERVICIO DE SISTEMAS DE SANEAMIENTO EN ALTA CCB-ELA;1974;1997;Biològic amb tractament Terciari;4500,00;15200;0;1;3,10;0;0,00;PORTBOU;1;Mar Mediterrani;528;547;1075
DPRA;PRADES;431166;Prades;Baix Camp;Tarragona;L'Ebre;Consell Comarcal del Baix Camp;COMAIGUA, SL;2013;NA;Biològic amb eliminació de Nitrogen i Fòsfor;730,00;3650;0;0;1,80;0;0,00;PRADES;1;riu de Prades;309;280;589
DPDC;PRAT DE COMTE;431172;Prat de Comte;Terra Alta;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2021;NA;Biològic;60,00;422;0;1;0,25;0;0,00;PRAT DE COMTE;1;Torrent de Xalamera;98;85;183
DPLL;PRATS DEL LLUÇANÈS;081712;Prats de Lluçanès;Osona;Barcelona;El Llobregat;Consell Comarcal d'Osona;Depuradores d'Osona;1999;2008;Biològic amb eliminació de Nitrogen i Fòsfor;875,00;4375;0;0;0,95;0;0,00;PRATS DE LLUÇANÈS (Prats de Lluçanès);1;El Medrinyol;1280;1289;2569
DPRSP;PRATS;251752;Prats i Sansor;Cerdanya;Lleida;El Segre;Consell Comarcal de la Cerdanya;ACSA-SAV-DAM (UTE EDAR LA CERDANYA);1999;NA;Biològic;250,00;500;0;0;0,45;0;0,03;PRATS I SANSOR (Prats);1;Riu Segre;114;105;219
DPGR;PUIG-REIG;081751;Puig-Reig;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2005;NA;Biològic;1317,00;8538;0;4;2,77;0;0,00;PUIG-REIG (Puig-reig);1;Riu Llobregat;2086;2092;4178
DQRT1;QUART;171426;Quart;Gironès;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2013;NA;Biològic;600,00;2750;0;4;3,63;0;0,00;QUART (Quart, Palol d'Onyar);1;riu Onyar;1855;1869;3724
DQRB;QUERALBS;170433;Queralbs;Ripollès;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic amb eliminació de Nitrogen i Fòsfor;300,00;1250;0;0;0,47;0;0,00;QUERALBS (Queralbs);1;riera de l'Extremera;104;87;191
DRQR;RASQUERA;431212;Rasquera;Ribera d'Ebre;Tarragona;L'Ebre;Agència Catalana de l'Aigua;SERVEIS INTEGRALS DE MANTENIMENT RUBATEC, SA;2018;NA;Biològic;135,00;1125;0;1;0,83;0;0,00;RASQUERA;1;barranc de les Valletes;384;397;781
DRNU;RENAU;431227;Renau;Tarragonès;Tarragona;El Gaià;Ajuntament Renau;EMATSA;2011;NA;Biològic;60,00;300;0;0;0,14;0;0,00;RENAU;1;torrent de Renau;82;75;157
DRIA;RIALP;251832;Rialp;Pallars Sobirà;Lleida;La Noguera Pallaresa;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2002;NA;Biològic amb eliminació de Nitrogen i Fòsfor;1152,00;2880;0;1;0,78;0;0,00;RIALP;1;RIU NOGUERA PALLARESA;330;331;661
DRIF;RIBES DE FRESER;171450;Ribes de Freser;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1992;2014;Biològic;2350,00;7912;0;0;2,50;0;0,00;RIBES DE FRESER (Ribes de Freser);1;Riu Freser;882;872;1754
DRINS;SÚ;251863;Riner;Solsonès;Lleida;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2002;NA;Biològic;30,00;154;0;0;0,50;0;0,00;RINER (Sú);1;Riera de Matamargó;132;131;263
DRDC;RIUDECANYES;431270;Riudecanyes;Baix Camp;Tarragona;Riudecanyes;Consell Comarcal del Baix Camp;COMAIGUA, SL;2002;NA;Llacunatge;115,00;600;0;0;0,83;0;0,00;RIUDECANYES (Riudecanyes);1;Riera de Riudecanyes;590;534;1124
DRIS;RIUDECOLS;431286;Riudecols;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;2006;NA;Biològic amb eliminació de Nitrogen;435,00;1813;0;0;0,84;0;0,00;RIUDECOLS (Riudecols);1;Riera de Riudecols;611;569;1180
DRIU;RIUDOMS;431299;Riudoms;Baix Camp;Tarragona;Rieres de la costa entre Cunit i Vandellòs i l'Hospitalet de l'Infant;Consell Comarcal del Baix Camp;COMAIGUA, SL;1992;NA;Biològic;1000,00;8330;0;0;1,73;0;0,00;RIUDOMS (Riudoms);1;Riera de Riudoms;3380;3214;6594
DROS;ROSSELLÓ;251898;Rosselló;Segrià;Lleida;El Segre;Agència Catalana de l'Aigua;SIM RUBATEC, S.A.-M. Y J. GRUAS, S.A. UTE;1993;2006;Biològic amb eliminació de Fòsfor;800,00;4000;0;0;1,12;0;0,00;ROSSELLÓ;1;CLAMOR DE LA TOSA;1602;1543;3145
DRPA;RUPIÀ;171539;Rupià;Baix Empordà;Girona;El Ter;Agència Catalana de l'Aigua;UTE PSARU TER-DARÓ (ACSA AGBAR CONSTRUCCIÓN, SA.-SOREA, SA.-CONST. DE CALAF, SA);2012;NA;Biològic amb eliminació de Nitrogen i Fòsfor;136,00;567;0;0;0,63;0;0,00;RUPIÀ ( Rupià);1;riera de Rupià;138;134;272
DSDP;SALÀS DE PALLARS;251902;Salàs de Pallars;Pallars Jussà;Lleida;La Noguera Pallaresa;Consell Comarcal del Pallars Jussà;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;2011;NA;Biològic;197,00;938;0;0;2,03;0;0,00;SALÀS DE PALLARS;1;barranc de Sant Pere;174;146;320
DSCR;SANT CARLES DE LA RÀPITA;431362;Sant Carles de la Ràpita;Montsià;Tarragona;Rieres de la costa entre l'Ametlla i Alcanar;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1996;2008;Biològic amb eliminació de Nitrogen i Fòsfor i amb tractament Terciari;6310,00;28921;0;1;2,98;0;0,00;SANT CARLES DE LA RÀPITA (St. Carles de la Ràpita);1;Badia dels Alfacs / Mar Mediterrani;7238;7551;14789
DCRCC;SANT CORNELI DE CERCS;082687;Cercs;Berguedà;Barcelona;El Llobregat;Consell Comarcal del Berguedà;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2009;NA;Biològic;50,00;275;0;0;0,10;0;0,00;SANT CORNELI DE CERCS (Cercs);1;Torrent de Sant Romà;577;568;1145
DSFC;SANT FELIU DE CODINES;082107;Sant Feliu de Codines;Vallès Oriental;Barcelona;El Besòs;Consorci Besòs Tordera;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1995;NA;Biològic amb eliminació de Nitrogen;2900,00;12083;0;2;4,00;0;0,00;SANT FELIU DE CODINES;1;Riera de Villar (riu Tenes);3168;3091;6259
DSFS;SANT FELIU SASSERRA;082129;Sant Feliu Sasserra;Bages;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2015;NA;Biològic;340,00;1983;0;0;0,86;0;0,00;SANT FELIU SASSERRA;1;Torrent de Llobartera;312;290;602
DSGR;SANT GREGORI;171637;Sant Gregori;Gironès;Girona;El Ter;Ajuntament Sant Gregori;Ajuntament de Sant Gregori;1988;NA;Llacunatge;240,00;1200;0;0;1,60;0;0,00;SANT GREGORI (Sant Gregori);1;Riera Llèmena;1959;1858;3817
DSGF;SANT GUIM DE FREIXENET;251924;Sant Guim de Freixenet;Segarra;Lleida;El Segre;Ajuntament Sant Guim de Freixenet;AJUNTAMENT DE SANT GUIM;1994;NA;Llacunatge;200,00;1000;0;0;1,37;0;0,00;SANT GUIM DE FREIXENET;1;RIERA DE FREIXENET;538;487;1025
DSHS;SANT HILARI SACALM;171642;Sant Hilari Sacalm;Selva;Girona;El Ter;Ajuntament Sant Hilari Sacalm;SOREA;1992;NA;Llacunatge;2400,00;12000;0;0;1,00;0;0,00;SANT HILARI DE SACALM(Sant Hilari de Sacalm);1;Riera d'Osor;2843;2784;5627
DSJE;SANT JAUME D'ENVEJA;439023;Sant Jaume d'Enveja;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;2016;NA;Biològic;2426,00;2936;0;3;5,07;0;0,00;SANT JAUME D'ENVEJA;1;riu Ebre;1765;1738;3503
DSJA;SANT JOAN DE LES ABADESSES;171674;Sant Joan de les Abadesses;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1995;NA;Biològic;1350,00;6750;0;1;5,00;0;0,00;SANT JOAN DE LES ABADESSES (Sant Joan de les Abadesses);1;Riu Ter;1604;1628;3232
DSJFB;BEGUDÀ;171851;Sant Joan les Fonts;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;2006;NA;Biològic amb eliminació de Nitrogen;1300,00;7583;0;2;1,00;0;0,00;SANT JOAN LES FONTS(Begudà);1;Riu Turonell;1541;1465;3006
DSJC;SANT JULIÀ DE CERDANYOLA;089030;Sant Julià de Cerdanyola;Berguedà;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2020;NA;Biològic amb eliminació de Nitrogen i Fòsfor;167,99;840;0;0;0,28;0;0,00;Sant Julià de Cerdanyola;1;Torrent de la Font del Castell;125;103;228
DSLH;SANT LLORENÇ D'HORTONS;082227;Sant Llorenç d'Hortons;Alt Penedès;Barcelona;El Llobregat;Ajuntament Sant Llorenç d'Hortons;SOREA;1985;NA;Biològic;400,00;2000;0;0;1,50;0;0,00;SANT LLORENÇ D'HORTONS (Sant Llorenç d'Hortons);1;Torrent de Can Serra;1226;1187;2413
DSLO;SANT LLORENÇ DE MORUNYS;251116;Guixers;Solsonès;Lleida;El Llobregat;Agència Catalana de l'Aigua;CADAGUA;2000;NA;Biològic amb eliminació de Nitrogen i Fòsfor;624,00;3630;0;0;1,00;0;0,00;SANT LLORENÇ DE MORUNYS (Sant llorenç de Morunys);1;Pantà La Llosa del Cavall;84;50;134
DSLS;SANT LLORENÇ SAVALL;082233;Sant Llorenç Savall;Vallès Occidental;Barcelona;El Besòs;Consorci Besòs Tordera;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1993;NA;Biològic;900,00;3000;0;0;0,60;0;0,00;SANT LLORENÇ SAVALL (Sant Llorenç Savall);1;Riu Ripoll;1197;1176;2373
DSMS;SANT MARTÍ DE SESGUEIOLES;082286;Sant Martí Sesgueioles;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (GRUP IGUALADA);1999;NA;Llacunatge;150,00;550;0;0;0,10;0;0,00;SANT MARTÍ DE SESGUEIOLES (Sant Martí de Sesgueioles);1;Riera de Sant Martí de Sesgeioles;176;167;343
DSMT;SANT MARTÍ DE TOUS;082264;Sant Martí de Tous;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE ACSA-SAV-DAM (GRUP IGUALADA);2006;NA;Biològic amb eliminació de Nitrogen;240,00;968;0;1;2,50;0;0,00;SANT MARTÍ DE TOUS (Sant Martí de Tous);1;Riera de Tous;637;598;1235
DSMSH;SANT MARTÍ SARROCA (HOSTALETS);082270;Sant Martí Sarroca;Alt Penedès;Barcelona;El Foix;Mancomunitat Penedès-Garraf;Mancomunitat Penedès-Garraf;2010;NA;Biològic;50,00;200;0;0;0,10;0;0,00;SANT MARTÍ SARROCA (Hostalets);1;Riu Foix;1608;1656;3264
DSMF;SANT MIQUEL DE FLUVIÀ;171753;Sant Miquel de Fluvià;Alt Empordà;Girona;El Fluvià;Agència Catalana de l'Aigua;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1998;NA;Biològic;250,00;1667;0;0;0,00;0;0,00;SANT MIQUEL DE FLUVIÀ(Sant Miquel Fluvià);1;Riu Fluvià;397;367;764
DSPS;SANT PAU DE SEGÚRIES;171772;Sant Pau de Segúries;Ripollès;Girona;El Ter;Consell Comarcal del Ripollès;CADAGUA;1993;NA;Biològic;400,00;2000;0;2;1,50;0;0,00;SANT PAU DE SEGÚRIES (Sant Pau de Segúries);1;Riu Ter;347;350;697
DSPRS;SANT PERE SALLAVINERA;081897;Sant Pere Sallavinera;Anoia;Barcelona;El Llobregat;Agència Catalana de l'Aigua;UTE PSARU LLOBREGAT NORD (OMS SACEDE, SAU-CESMED AMBIENTAL, SL);2013;NA;Biològic;32,00;160;0;0;0,93;0;0,00;SANT PERE SALLAVINERA (Sant Pere Sallavinera);1;riera de Sant Pere;82;70;152
DSQB;SANT QUIRZE DE BESORA;082378;Sant Quirze de Besora;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2016;NA;Biològic;600,00;3500;0;1;0,87;0;0,00;SANT QUIRZE DE BESORA;1;riu Ter;1054;1113;2167
DSSD;SANT SADURNÍ D'ANOIA;082732;Subirats;Alt Penedès;Barcelona;El Llobregat;Mancomunitat Penedès-Garraf;COMPANYIA GENERAL D'AIGÜES DE CATALUNYA, S.A.;1997;NA;Biològic amb eliminació de Nitrogen i Fòsfor;4018,00;45134;0;0;3,00;0;0,00;SANT SADURNÍ D'ANOIA (Sant Sadurní d'Anoia);1;Riu Laverno;1577;1467;3044
DSSG;SANT SALVADOR DE GUARDIOLA;080983;Sant Salvador de Guardiola;Bages;Barcelona;El Llobregat;Mancomunitat de municipis del Bages per al sanejament;AIGÜES DE MANRESA;1997;NA;Biològic amb eliminació de Nitrogen;1000,00;4167;0;0;8,00;0;0,00;SANT SALVADOR DE GUARDIOLA (Sant Salvador de Guardiola);1;Riera de Guardiola;1630;1549;3179
DSBR;SANTA BÀRBARA;431384;Santa Bàrbara;Montsià;Tarragona;L'Ebre;Consell Comarcal del Montsià;ACCIONA AGUA, S.A.U.;1998;NA;Llacunatge;780,00;5200;0;0;0,43;0;0,00;SANTA BARBARA (Sta. Bàrbara);1;Barranc Pelós;1881;1826;3707
DSCQ;SANTA COLOMA DE QUERALT;431397;Santa Coloma de Queralt;Conca de Barberà;Tarragona;El Gaià;Consell Comarcal de la Conca de Barberà;UTE CONCA DE BARBERÀ (DAM-ACCIONA);1993;NA;Biològic;1000,00;4667;0;0;0,80;0;0,00;SANTA COLOMA DE QUERALT (Sta. Coloma de Queralt);1;Riu Gaia;1328;1345;2673
DSEP;SANTA EULÀLIA DE RIUPRIMER;082476;Santa Eulàlia de Riuprimer;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2001;NA;Biològic amb eliminació de Nitrogen i Fòsfor;500,00;2000;0;1;4,20;0;0,00;SANTA EULÀLIA DE RIUPRIMER (Santa Eulàlia de Riuprimer);1;Riu Meder;686;659;1345
DSMOR;ROVIROLA, LA;082589;Santa Maria d'Oló;Moianès;Barcelona;El Llobregat;Mancomunitat de municipis del Bages per al sanejament;AIGÜES DE MANRESA;2005;NA;Biològic;20,00;80;0;0;0,00;1;0,47;Santa Maria d'Oló;1;Rasa del Corral;521;504;1025
DSMB;SANTA MARIA DE BESORA;082536;Santa Maria de Besora;Osona;Barcelona;El Ter;Consell Comarcal d'Osona;Depuradores d'Osona;2011;NA;Biològic;100,20;418;0;0;0,38;0;0,00;SANTA MARIA DE BESORA;1;Torrent innominat_ Riu Ter;78;72;150
DSAP;SANTA PAU;171848;Santa Pau;Garrotxa;Girona;El Fluvià;Consell Comarcal de la Garrotxa;AQUAMBIENTE SERVICIOS PARA EL SECTOR DEL AGUA SAU;1998;NA;Biològic;300,00;1900;0;1;1,00;0;0,00;SANTA PAU;1;Riu Ser;792;773;1565
DSEC;SECUITA, LA;431444;Secuita, la;Tarragonès;Tarragona;El Francolí;Ajuntament Secuita, La;EMATSA;1986;NA;Biològic;150,00;650;0;0;0,50;0;0,00;SECUITA, LA (Secuita, La);1;Riu Francolí;851;836;1687
DSNN;SENAN;431460;Senan;Conca de Barberà;Tarragona;El Segre;Consell Comarcal de la Conca de Barberà;UTE CONCA DE BARBERÀ (DAM-ACCIONA);2009;NA;Biològic;22,50;150;0;0;0,05;0;0,00;SENAN (Senan);1;Fondalada dels pouets (infiltració subsòl);33;15;48
